drug_name,atc,summary,Persistence,Bioaccumulation,Toxicity,Risk
alimemazine,R06AD01,SummaryHazard 9* , 3 , 3* , 3* , See below
allopurinol,M04AA01,Summary, Allopurinol is potentially persistent, Allopurinol has low potential for bioaccumulation, Allopurinol has very high acute toxicity, The use of allopurinol (sales data Sweden 2021) has been considered to result in moderate environmental risk. This summary information comes from Fass
almotriptan,N02CC05,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
alprazolam,N05BA12,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
alprostadil,G04BE01,Summary," It cannot be excluded that alprostadil is persistent, due to the lack of data", Alprostadil has low potential for bioaccumulation," It cannot be excluded that alprostadil is toxic, due to the lack of data", 
alteplase,B01AD02,"SummaryAlteplase is a glucoprotein. Risk. The use of amino acids, proteins and peptides is not considered to have any environmental impact. This summary information comes from Fass.",see summary,see summary,see summary,see summary
ambenonium,N07AA30,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
ambroxol,R05CB06,SummaryHazard 5 , 3 , 0 , 2 , Insignificant 
amikacin,J01GB06,Summary, Amikacin is very persistent (vP), Amikacin has low potential for bioaccumulation, Amikacin has very high chronic toxicity," """
aminolevulinicacid,L01XD04,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
amiodarone,C01BD01,Summary, Amiodarone is potentially persistent, Amiodarone has high potential for bioaccumulation, Amiodarone has high chronic toxicity, The use of amiodarone (sales data Sweden 2021) has been considered to result in insignificant environmental risk. This summary information comes from Fass
amitriptyline,N06AA09,Summary," It cannot be excluded that amitriptyline is persistent, due to the lack of data", Amitriptyline has a high potential to bioaccumulate," It cannot be excluded that amitriptyline is toxic, due to the lack of data", 
amlodipine,C08CA01,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from Fass. The risk comes from the report of Goodpoint. ", Amlodipine is degraded in the environment, Amlodipine has low potential for bioaccumulation, Amlodipine has high chronic toxicity, See the report from Goodpoint below
amorolfine,D01AE16,Summary," It cannot be excluded that amorolfine is persistent, due to the lack of data"," It cannot be excluded that amorolfine bioaccumulates, due to the lack of data"," It cannot be excluded that amorolfine is toxic, due to the lack of data", 
amoxicillin,J01CA04,Summary, Amoxicillin is potentially persistent, Amoxicillin has low potential for bioaccumulation, Amoxicillin has a very high chronic toxicity, 
amphotericinb,J02AA01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
ampicillin,J01CA01,Summary," It cannot be excluded that ampicillin is persistent, due to the lack of data"," It cannot be excluded that ampicillin bioaccumulates, due to the lack of data"," It cannot be excluded that ampicillin is toxic, due to the lack of data", 
amsacrine,L01XX01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
anagrelide,L01XX35,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
anakinra,L04AC03,SummaryHazard - , - , - , - , Exempt
anastrozole,L02BG03,Summary," It cannot be excluded that anastrozole is persistent, due to the lack of data"," It cannot be excluded that anastrozole bioaccumulates, due to the lack of data"," It cannot be excluded that anastrozole is toxic, due to the lack of data", 
apixaban,B01AF02,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from the assessment report for Eliquis (apixaban) June 26, 2014 and Fass. The risk comes from Fass. ", Apixaban is degraded slowly in the environment, Apixaban has low potential for bioaccumulation, Apixaban has low chronic toxicity, The use of apixaban (sales data Sweden 2018) has been considered to result in insignificant environmental risk
apraclonidine,S01EA03,SummaryHazard - , - , 0 , - , Cannot be excluded 
aprepitant,A04AD12,SummaryHazard 6* , 3 , 0 , 3* , Insignificant 
aprotinin,B02AB01,SummaryHazard - , - , - , - ," ExemptFass environmental informationFass environmental information for Artiss (among others aprotinin, bovint, syntetiskt) from "
aripiprazole,N05AX12,SummaryHazard 9* , 3 , 3* , 3 ," Insignificant No measurements of aripripazole have been reported from wastewater or the external environment, either in Sweden or abroad. However, the reason may be that no one has specifically searched for the substance. Aripiprazole is slowly degraded in the environment.In the literature there are contradictory fat solubility data for alimemazine reported. However, several independent sources report an estimated fat solubility (log"
atazanavir,J05AE08,SummaryHazard 5 , 3 , 0 , 2 , Insignificant 
atenolol,C07AB03,SummaryHazard - , - , 0 , - , See below Underlying data for 
atomoxetine,N06BA09,SummaryHazard 6 , 3 , 0 , 3 , Insignificant 
atorvastatin,C10AA05,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from previous environmental information on Fass.se. Environmental information is missing on fass.se for atorvastatin (2021-06-11). It is voluntary for manufacturers to provide information on environmental impact on fass.se. The risk is from the report by Goodpoint. ", Atorvastatin is slowly degraded in the environment, Atorvastatin does not have the potential for bioaccumulation in aquatic organisms, Atorvastatin has moderate acute toxicity, See the report by Goodpoint below
atosiban,G02CX01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
atovaquone,P01AX06,SummaryHazard 9* , 3* , 3 , 3* , Cannot be excluded 
atracurium,M03AC04,SummaryEnvironmental information is missing on fass.se for atracurium (2022-01-13). It is voluntary for manufacturers to provide information on environmental impact on fass.se. ," It cannot be excluded that atracurium is persistent, due to the lack of data"," It cannot be excluded that atracurium bioaccumulates, due to the lack of data"," It cannot be excluded that atracurium is toxic, due to the lack of data", 
atropine,S01FA01,SummaryHazard - , - , 0 , - , Cannot be excluded 
auranofin,M01CB03,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
azathioprine,L04AX01,SummaryHazard - , - , - , - , Cannot be excluded 
azelaicacid,D10AX03,Summary," It cannot be excluded that azelaic acid is persistent, due to the lack of data"," It cannot be excluded that azelaic acid bioaccumulates, due to the lack of data"," It cannot be excluded that azelaic acid is toxic, due to the lack of data", For azelaic acid there is nothing that indicates an environmental hazard. Environmental information is missing on fass.se for azelaic acid (2022-06-30). It is voluntary for manufacturers to provide information on environmental impact on fass.se
azelastine,R01AC03,SummaryHazard 6* , 3 , 0 , 3* , Insignificant 
azithromycin,J01FA10,"SummaryEnvironmental information for azithromycin is missing on fass.se (2021-08-16). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on persistence, bioaccumulation and toxicity is based on previous environmental information in Fass from 2011. For risk, see the environmental assessment from Goodpoint. ", Azithromycin is slowly degraded in the environment, Azithromycin has no potential to bioaccumulate, Azithromycin has a very high acute toxicity, See the environmental assessment from Goodpoint below. Suggestions on how to reduce emissions of azithromycin
aztreonam,J01DF01,SummaryHazard 6* , 3* , 0 , 3 , Cannot be excluded 
baclofen,M03BX01,SummaryHazard 3* , 3 , 0 , 0* , Cannot be excluded 
baricitinib,L04AA37,SummaryHazard 4 P 3 B 0 T 1 Risk InsignificantThis summary information comes from assessment report for Olumiant (baricitinib)," Baricitinib is potentially peristent according to expert (Researcher at the Department of Environmental Science and Analytical Chemistry (ACES), Stockholm University 2020-05-06)", Baricitinib has low potential for bioaccumulation, Baricitinib has moderate chronic toxicity, Expected use of baricitinib from a European perspective gives the risk insignificant
basiliximab,L04AC02,SummaryHazard - , - , - , - , Exempt
bazedoxifene,G03XC02,SummaryThis summary information comes from the assessment report from 2014. , Bazedoxifene is not persistent, Bazedoxifene has low potential for bioaccumulation, Bazedoxifene has very high chronic toxicity," ""The data provided by the Applicant do allow concluding that bazedoxifene is unlikely to present a risk to the environmental compartments surface water, groundwater and sediment as well as wastewater microorganisms. No final conclusion is possible on the potential risk of bazedoxifene to the terrestrial environment. [...] The Environmental "
bedaquiline,J04AK05,SummaryHazard 9 , 3 , 3 , 3 , See below 
benzoylperoxide,D10AE01,Summary, Benzoyl peroxide is degraded in the environment, Benzoyl peroxide has low potential for bioaccumulation, Benzoyl peroxide has very high acute toxicity, The use of Benzoyl peroxide (sales data Sweden 2019) has been considered to result in moderate environmental risk. This summary information comes from Fass
benzylpenicillin,J01CE01,SummaryHazard 6 , 3 , 0 , 3 , Cannot be excluded 
betamethasone,D07AC01,SummaryThis summary information comes from Fass. , Betamethasone is potentially persistent, Betamethasone has low potential for bioaccumulation, Betamethasone has very high chronic toxicity, The use of betamethasone (sales data Sweden 2018) has been considered to result in high environmental risk
betaxolol,S01ED02,SummaryHazard - , - , 0 , - , Cannot be excluded 
bevacizumab,L01XC07,SummaryHazard - , - , - , - , Exempt
bexarotene,L01XX25,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
bezafibrate,C10AB02,SummaryThis summary information on toxicity and persistence is based on previous environmental information on fass.se for Bezalip from Actavis (downloaded 2011-04-14). Bioaccumulation and risk come from the report from Goodpoint. , Bezafibrate is slowly degraded in the environment," All fibrates examined are fat soluble with a log P between 3.9 and 5.2. This is likely low enough for some to be found in soluble form in surface water, but at the same time high enough to bioconcentrate effectively", Bezafibrate has high acute toxicity," The use of bezafibrate, fenofibrate and gemfibrozil is not considered to pose an environmental risk"
bibrocathol,S01AX05,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
bicalutamide,L02BB03,SummaryHazard 5 , 3 , 0 , 2 , Insignificant 
bifonazole,D01AC10,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
bimatoprost,S01EE03,Summary, No data, No data, No data, Cannot be excluded. Environmental information is missing on fass.se for bimatoprost (2020-09-07). It is voluntary for manufacturers to provide information on environmental impact on fass.se
biperiden,N04AA02,SummaryHazard - , - , - , 2* , Cannot be excluded 
bisacodyl,A06AB02,SummaryHazard 5 , 3 , 0 , 2 , Insignificant 
bisoprolol,C07AB07,SummaryThis summary information comes from Fass. , Bisoprolol is degraded in the environment. , Bisoprolol has low potential for bioaccumulation, Bisoprolol has low chronic toxicity, The use of bisoprolol (sales data Sweden 2018) has been considered to result in insignificant environmental risk
bleomycin,L01DC01,SummaryHazard - , - , - , - , Cannot be excluded Manufacturer has on fass.se stated that that data about the environmental impact is missing for the substance so that the environmental risk cannot be calculated. It is voluntary for manufacturers to provide information on the environmental impact on fass.se
blinatumomab,L01XC19,SummaryHazard - , - , - , - , Exempt
boceprevir,J05AE12,SummaryHazard 2* , 0 , 0 , 2* , Insignificant 
bortezomib,L01XX32,SummaryHazard - , - , - , 3 , Insignificant 
bosentan,C02KX01,SummaryHazard - , - , 0 , - , Cannot be excluded 
brentuximabvedotin,L01XC12,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
brimonidine,S01EA05,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
brinzolamide,S01EC04,SummaryHazard - , - , 0 , - , Cannot be excluded 
bromhexine,R05CB02,SummaryHazard 6 , 3 , 0 , 3 , Cannot be excluded
bromocriptine,N04BC01,Summary," It cannot be excluded that bromocriptine is persistent, due to the lack of data", Bromocriptine has low potential for bioaccumulation," It cannot be excluded that bromocriptine is toxic, due to the lack of data", 
budesonide,A07EA06,"SummaryThe data on persistence, bioaccumulation and toxicity come from the assessment reports from 2020. The risk comes from the report of Goodpoint. ", Budesonide is likely non-persistent, Budesonide has low potential for bioaccumulation, Budesonide has high chronic toxicity, The use of budesonide poses an environmental risk
bumetanide,C03CA02,SummaryHazard 4* , 3* , 0 , 1* , Cannot be excluded No experimental values have been found regarding the ecotoxicity of 
bupivacaine,N01BB01,SummaryHazard 5* , 3* , 0 , 2* , Cannot be excluded
buprenorphine,N02AE01,Summary, Buprenorphine is slowly degraded in the environment, Buprenorphine has low potential for bioaccumulation, Buprenorphine has very high chronic toxicity," From a European perspective, the use of buprenorphine has been considered to result in insignificant environmental risk. This summary information comes from the assessment report for Zubsolv (buprenorphine, naloxone) 2017. The data for calculating risk in assessment reports for a medicinal product do not necessarily represent the total emission of all products with the same active substance during use. Buprenorphine is used in medical patches which may contain significant drug residues after use. Even used patches should be submitted to the pharmacy for destruction"
bupropion,N06AX12,Summary, Bupropion is potentially persistent, Bupropion has low potential for bioaccumulation, Bupropion has very high chronic toxicity," The use of bupropion (sales data Sweden 2021) has been considered to result in insignificant environmental risk. See comment under the heading ""Detailed information"" if using PNEC value for bupropion from the assessment report of Mysimba (naltrexone/bupropion).This summary information comes from Fass except from the toxicity information that comes from the assessment report. Data for bioaccumulation is also supported by information in the assessment report"
buserelin,L02AE01,SummaryHazard - , - , - , - , See below
buspirone,N05BE01,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded
busulfan,L01AB01,SummaryHazard 2* , 0 , 0 , 2* , Cannot be excluded
butylscopolamine,A03BB01,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
cabazitaxel,L01CD04,SummaryHazard 6 , 3 , 0 , 3 , Insignificant 
cabergoline,G02CB03,Summary," It cannot be excluded that cabergoline is persistent, due to the lack of data"," It cannot be excluded that cabergoline bioaccumulates, due to the lack of data"," It cannot be excluded that cabergoline is toxic, due to the lack of data", 
caffeine,N06BC01,Summary," The potential for persistence of caffeine cannot be excluded, due to lack of data", Caffeine has low potential for bioaccumulation, Caffeine has moderate acute toxicity, The use of caffeine (sales data Sweden 2017) has been considered to result in insignificant environmental risk. This summary information comes from Fass
calcipotriol,D05AX02,Summary, Calcipotriol is potentially persistent, Calcipotriol has high potential for bioaccumulation," It cannot be excluded that calcipotriol is toxic, due to the lack of data", 
calcitriol,A11CC04,SummaryHazard - , - , - , - , Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHM
calciumcarbonate,A12AA04,SummaryThis summary information comes from Fass. The use of electrolytes is not considered to have any environmental impact.,see summary,see summary,see summary,see summary
calciumchloride,A12AA07,SummaryHazard - , - , - , - , Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHM
calciumfolinate,V03AF03,SummaryHazard - , - , - , - , Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHM
canagliflozin,A10BX11,SummaryHazard 5 , 3 , 0 , 2 , Insignificant 
canakinumab,L04AC08,SummaryHazard - , - , - , - , Exempt
candesartan,C09CA06,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from Fass. The risk is from the report by Goodpoint. ", Candesartan is persistent, Candesartan has low potential for bioaccumulation, Candesartan has moderate chronic toxicity, See the report by Goodpoint below
capecitabine,L01BC06,No recorded data,see summary,see summary,see summary,see summary
captopril,C09AA01,SummaryHazard - , - , - , - , Low
carbachol,S01EB02,SummaryHazard - , - , 0 , - , Cannot be excluded
carbamazepine,N03AF01,Summary," Carbamazepine is persistent. See comment on ""potentially persistence"" that is written in Fass under the heading ""Detailed information"" below", Carbamazepine has low potential for bioaccumulation, Carbamazepine has high chronic toxicity," The use of carbamazepine (sales data Sweden 2018) has been considered to result in low environmental risk.This summary information comes from Fass. The information about persistence, bioaccumulation and risk is also supported by the report from Goodpoint"
carbetocin,H01BB03,SummaryHazard - , - , - , - , Se below
carboplatin,L01XA02,SummaryHazard 4* , 3* , 0 , 1* , Cannot be excluded
carboprost,G02AD04,Summary," It cannot be excluded that carboprost is persistent, due to the lack of data"," It cannot be excluded that carboprost bioaccumulates, due to the lack of data"," It cannot be excluded that carboprost is toxic, due to the lack of data", 
carfilzomib,L01XX45,SummaryHazard - , - , 3 , - , Cannot be excluded
carvedilol,C07AG02,Summary," It cannot be excluded that carvedilol is persistent, due to the lack of data"," It cannot be excluded that carvedilol bioaccumulates, due to the lack of data"," It cannot be excluded that carvedilol is toxic, due to the lack of data", 
caspofungin,J02AX04,SummaryHazard 6 , 3 , 0 , 3 , Insignificant
cefadroxil,J01DB05,Summary," It cannot be excluded that cefadroxil is persistent, due to the lack of data"," It cannot be excluded that cefadroxil bioaccumulates, due to the lack of data"," It cannot be excluded that cefadroxil is toxic, due to the lack of data", 
cefalexin,J01DB01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
cefepime,J01DE01,SummaryHazard 3* , 3 , 0 , 0* , Insignificant Since 2012-03-31 there is no registered drug containing cefepime in the Swedish market 
cefotaxime,J01DD01,SummaryHazard - , - , 0 , - , Cannot be excluded Underlying information for 
ceftazidime,J01DD02,SummaryHazard 5 , 3 , 0 , 2 , Insignificant 
ceftriaxone,J01DD04,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded 
cefuroxime,S01AA27,SummaryHazard 6* , 3 , 0 , 3* , See below 
celecoxib,M01AH01,Summary," It cannot be excluded that celecoxib is persistent, due to the lack of data"," It cannot be excluded that celecoxib bioaccumulates, due to the lack of data"," It cannot be excluded that celecoxib is toxic, due to the lack of data", The environmental risk is not considered to be that great from a Swedish perspective. Information about the risk comes from the report by Goodpoint 2019. Environmental information is missing on fass.se (2023-03-16). It is voluntary for manufacturers to provide information about environmental impact on fass.se
certolizumabpegol,L04AB05,SummaryHazard - , - , - , - , See below
cetirizine,R06AE07,Summary," It cannot be excluded that cetirizine is persistent, due to the lack of data", Cetirizine has low potential for bioaccumulation," It cannot be excluded that cetirizine is toxic, due to the lack of data", The use of cetirizine in Sweden has been considered to result in low environmental risk. The data for bioaccumulation is based on previous environmental information. Environmental information is missing on fass.se (2022-06-30). It is voluntary for manufacturers to provide information about environmental impact on fass.se. 
cetrorelix,H01CC02,SummaryHazard - , - , - , - , Exempt
cetuximab,L01XC06,SummaryHazard - , - , - , - , Exempt
chlorambucil,L01AA02,SummaryHazard 2* , 0 , 0 , 2* , Cannot be excluded
chloramphenicol,S01AA01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
chlorhexidine,R02AA05,SummaryHazard 6* , 3* , 0 , 3* , Cannot be excluded
chlorprothixene,N05AF03,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
ciclesonide,R03BA08,SummaryThe data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing (2022-01-17). It is voluntary for manufacturers to provide information about environmental impact on fass.se. , Ciclesonide is slowly degraded in the environment, Ciclesonide has low potential for bioaccumulation," It cannot be excluded that ciclesonide is toxic, due to the lack of data", 
cilazapril,C09AA08,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
cimetidine,A02BA01,SummaryHazard 3 , 3 , 0 , 0 , Insignificant
cinacalcet,H05BX01,SummaryHazard 5 , 3 , 0 , 2 , Insignificant 
ciprofloxacin,S03AA07,Summary, Ciprofloxacin is potentially persistent, Ciprofloxacin has low potential for bioaccumulationn, Ciprofloxacin has a very high chronic toxicity, The use of ciprofloxacin (sales data Sweden 2019) has been judged to entail a risk high of environmental impact.This summary information comes from Fass. The risk is also confirmed by the report from Goodpoint.Suggestions on how to reduce emissions of ciprofloxacin
cisatracurium,M03AC11,SummaryHazard 2* , 0 , 0 , 2* , Cannot be excluded 
cisplatin,L01XA01,SummaryHazard 6* , 3* , 0 , 3 , Cannot be excluded
citalopram,N06AB04,"SummaryEnvironmental information for citalopram is missing on fass.se (2020-10-12). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on persistence, bioaccumulation and toxicity is based on previous environmental information in Fass from 2018. For risk, see the environmental assessments from Goodpoint. "," The potential for persistence of citalopram cannot be excluded, due to lack of data", Citalopram has low potential for bioaccumulation, Citalopram has very high acute toxicity," See the environmental assessments from Goodpoint below. Citalopram is a racemate of which one of the enantiomers, escitalopram (S-form), has the pharmacological effect. Therefore, see also the information about escitalopram. Suggestions on how to reduce emissions of citalopram and escitalopram"
cladribine,L01BB04,SummaryHazard 5* , 3* , 0 , 2 , Insignificant
clarithromycin,J01FA09,"SummaryThe information on persistence, bioaccumulation and toxicity in this summary information is based on previous environmental information on fass.se. Environmental information is missing (2021-08-16). It is voluntary for manufacturers to provide information on environmental impact on fass.se. The risk comes from the report by Goodpoint. ", Clarithromycin is potentially persistent, Clarithromycin has low potential for bioaccumulation, Clarithromycin has very high acute toxicity, See the report by Goodpoint. Suggestions on how to reduce the emissions of clarithromycin
clemastine,R06AA04,SummaryHazard - , - , 3 , - , See below Underlying information för 
clindamycin,D10AF01,Summary," It cannot be excluded that clindamycin is persistent, due to the lack of data", Clindamycin has low a low potential for bioaccumulation," It cannot be excluded that clindamycin is toxic, due to the lack of data", 
clobetasone,D07AB01,Summary, Clobetasone is potentially persistent, Clobetasone has low potential for bioaccumulation, Clobetasone has very hig acute toxicity, 
clodronicacid,M05BA02,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
clofarabine,L01BB06,SummaryHazard - , - , - , - , Cannot be excluded
clomethiazole,N05CM02,SummaryHazard 4 , 3 , 0 , 1 , Insignificant
clomipramine,N06AA04,SummaryHazard 6* , 3 , 0 , 3* , See below
clonazepam,N03AE01,SummaryHazard 4* , 3 , 0 , 1* , Insignificant 
clonidine,C02AC01,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded
clopidogrel,B01AC04,Summary, Clopidogrel is degraded in the environment, Clopidgrel has low potential for bioaccumulation, Clopidgrel has moderate chronic toxicity, The use of clopidogrel (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information about hazard comes from fass.se and the assessment report for Plavix (clopidogrel) and Iscover (clopidogrel). The risk comes from fass.se
clotrimazole,D01AC01,SummaryThe data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing (2021-09-10). It is voluntary for manufacturers to provide information about environmental impact on fass.se. Clotrimazole is monitored within the framework of EU water legislation. , Clotrimazole is potentially persistent, Clotrimazole has high potential for bioaccumulation, Clotrimazole has high chronic toxicity, The use of clotrimazole (sales data Sweden 2011) has been considered to result in insignificant environmental risk
cloxacillin,J01CF02,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded
clozapine,N05AH02,SummaryHazard 9 , 3 , 3 , 3 , Low 
codeine,R05DA04,SummaryHazard - , - , 0 , - , See below Underlying data for 
colchicine,M04AC01,Summary," It cannot be excluded that colchicine is persistent, due to the lack of data"," It cannot be excluded that colchicine bioaccumulates, due to the lack of data"," It cannot be excluded that colchicine is toxic, due to the lack of data", 
colecalciferol,A11CC05,"SummaryThis summary information comes from Fass (Baxter, Meda, Organon Sweden, Recip AB and Takeda Pharma).The use of vitamins is not considered to have any environmental impact.",see summary,see summary,see summary,see summary
colestipol,C10AC02,SummaryHazard - , - , - , - , Cannot be excluded 
cyanocobalamin,B03BA01,"SummaryThis summary information comes from Fass (Baxter, Fresenius Kabi and Pfizer). Risk: The use of vitamins is not considered to have any environmental impact.",see summary,see summary,see summary,see summary
cyclopentolate,S01FA04,SummaryHazard - , - , 0 , - , Cannot be excluded
cyclophosphamide,L01AA01,SummaryHazard 5 , 3 , 0 , 2 , Cannot be excluded
cyproheptadine,R06AX02,SummaryHazard 9* , 3 , 3 , 3* , Cannot be excluded 
cyproterone,G03HA01,SummaryHazard 6* , 3 , 0 , 3* , Cannot be excluded 
cytarabine,L01BC01,SummaryHazard - , - , - , - , Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se
dabigatranetexilate,B01AE07,Summary, Dabigatran is “degraded in the environment, Dabigatran has low potential for bioaccumulation, Dabigatran has moderate chronic toxicity, The use of dabigatran (sales data Sweden 2019) has been considered to result in insignificant environmental risk. This summary information about persistence and bioaccumulation comes from assessment report and Fass. The information about toxicity and risk comes from Fass
dacarbazine,L01AX04,SummaryHazard - , - , - , - , Cannot be excluded
daclizumab,L04AC01,SummaryHazard - , - , - , - , Exempt Medicinal products containing daclizumab are no longer authorised in the European union. 
dalteparin,B01AB04,"SummaryThe use of amino acids, proteins and peptides is not considered to have any environmental impact. This summary information comes from Fass.",see summary,see summary,see summary,see summary
danaparoid,B01AB09,SummaryHazard - , - , - , - , Exempt 
