drug_name,atc,uncertainty_atc_match,summary
anagrelide,L01XX35,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
anakinra,L04AC03,False,SummaryHazard - P - B - T - Risk Exempt
anastrozole,L02BG03,False,"SummaryPersistence. It cannot be excluded that anastrozole is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that anastrozole bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that anastrozole is toxic, due to the lack of data.Risk. Risk of environmental impact of anastrozole cannot be excluded, due to the lack of environmental toxicity data.  Environmental information is missing on fass.se for anastrozole (2023-08-25). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
apixaban,B01AF02,False,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from the assessment report for Eliquis (apixaban) June 26, 2014 and Fass. The risk comes from Fass. Persistence. Apixaban is degraded slowly in the environment.Bioaccumulation. Apixaban has low potential for bioaccumulation.Toxicity. Apixaban has low chronic toxicity.Risk. The use of apixaban (sales data Sweden 2018) has been considered to result in insignificant environmental risk."
apraclonidine,S01EA03,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
aprepitant,A04AD12,False,SummaryHazard 6* P 3 B 0 T 3* Risk Insignificant 
aprotinin,B02AB01,False,"SummaryHazard - P - B - T - Risk ExemptFass environmental informationFass environmental information for Artiss (among others aprotinin, bovint, syntetiskt) from Baxter (downloaded 2019-07-10).The use of amino acids, proteins and peptides is not considered to have any environmental impact. According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHMP/SWP/4447/00),vitamins, electrolytes, amino acids, peptides, proteins, carbohydrates, lipids proteins, vaccines and herbal medicinal products are exempted because they are unlikely to result in significant risk to the environment."
aripiprazole,N05AX12,False,"SummaryHazard 9* P 3 B 3* T 3 Risk Insignificant No measurements of aripripazole have been reported from wastewater or the external environment, either in Sweden or abroad. However, the reason may be that no one has specifically searched for the substance. Aripiprazole is slowly degraded in the environment.In the literature there are contradictory fat solubility data for alimemazine reported. However, several independent sources report an estimated fat solubility (logPow) above 4, indicating that the substance has a high potential for bioaccumulation."
artemether,P01BF01,False,"SummaryHazard 9 P 3 B 3 T 3 Risk Insignificant The T-value in the score for hazard refers to acute toxicity. Underlying data for P, B and T comes from Fass.se."
atazanavir,J05AE08,False,SummaryHazard 5 P 3 B 0 T 2 Risk Insignificant 
atenolol,C07AB03,False,"SummaryHazard - P - B 0 T - Risk See below Underlying data for P, B and T are from Fass."
atomoxetine,N06BA09,False,SummaryHazard 6 P 3 B 0 T 3 Risk Insignificant 
atorvastatin,C10AA05,False,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from previous environmental information on Fass.se. Environmental information is missing on fass.se for atorvastatin (2021-06-11). It is voluntary for manufacturers to provide information on environmental impact on fass.se. The risk is from the report by Goodpoint. Persistence. Atorvastatin is slowly degraded in the environment.Bioaccumulation. Atorvastatin does not have the potential for bioaccumulation in aquatic organisms.Toxicity. Atorvastatin has moderate acute toxicity.Risk. See the report by Goodpoint below."
atosiban,G02CX01,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
atovaquone,P01AX06,False,"SummaryHazard 9* P 3* B 3 T 3* Risk Cannot be excluded The T-value in the score for hazard refers to chronic toxicity. Underlying data for P, B and T comes from Fass.se, see below."
atracurium,M03AC04,False,"SummaryEnvironmental information is missing on fass.se for atracurium (2022-01-13). It is voluntary for manufacturers to provide information on environmental impact on fass.se. Persistence. It cannot be excluded that atracurium is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that atracurium bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that atracurium is toxic, due to the lack of data.Risk. Risk of environmental impact of atracurium cannot be excluded, due to the lack of environmental toxicity data."
atropine,S01FA01,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
auranofin,M01CB03,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
azathioprine,L04AX01,False,SummaryHazard - P - B - T - Risk Cannot be excluded The manufacturer has stated on fass.se that environmental data are missing for the substance. It is voluntary for them to provide information about environmental impact on fass.se.
azelaicacid,D10AX03,False,"SummaryPersistence. It cannot be excluded that azelaic acid is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that azelaic acid bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that azelaic acid is toxic, due to the lack of data.Risk. For azelaic acid there is nothing that indicates an environmental hazard. Environmental information is missing on fass.se for azelaic acid (2022-06-30). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
azelastine,R01AC03,False,SummaryHazard 6* P 3 B 0 T 3* Risk Insignificant 
azithromycin,J01FA10,False,"SummaryEnvironmental information for azithromycin is missing on fass.se (2021-08-16). It is voluntary for manufacturers to provide information about environmental impact on fass.se. This summary information on persistence, bioaccumulation and toxicity is based on previous environmental information in Fass from 2011. For risk, see the environmental assessment from Goodpoint. Persistence. Azithromycin is slowly degraded in the environment.Bioaccumulation. Azithromycin has no potential to bioaccumulate.Toxicity. Azithromycin has a very high acute toxicity.Risk. See the environmental assessment from Goodpoint below. Suggestions on how to reduce emissions of azithromycin"
aztreonam,J01DF01,False,SummaryHazard 6* P 3* B 0 T 3 Risk Cannot be excluded 
baclofen,M03BX01,False,SummaryHazard 3* P 3 B 0 T 0* Risk Cannot be excluded 
baricitinib,L04AA37,False,"SummaryHazard 4 P 3 B 0 T 1 Risk InsignificantThis summary information comes from assessment report for Olumiant (baricitinib).Persistence. Baricitinib is potentially peristent according to expert (Researcher at the Department of Environmental Science and Analytical Chemistry (ACES), Stockholm University 2020-05-06).Bioaccumulation. Baricitinib has low potential for bioaccumulation.Toxicity. Baricitinib has moderate chronic toxicity.Risk. Expected use of baricitinib from a European perspective gives the risk insignificant."
basiliximab,L04AC02,False,SummaryHazard - P - B - T - Risk Exempt
bazedoxifene,G03XC02,False,"SummaryThis summary information comes from the assessment report from 2014. Persistence. Bazedoxifene is not persistent.Bioaccumulation. Bazedoxifene has low potential for bioaccumulation.Toxicity. Bazedoxifene has very high chronic toxicity.Risk. ""The data provided by the Applicant do allow concluding that bazedoxifene is unlikely to present a risk to the environmental compartments surface water, groundwater and sediment as well as wastewater microorganisms. No final conclusion is possible on the potential risk of bazedoxifene to the terrestrial environment. [...] The Environmental Risk Assessment of bazedoxifene and estrone/17β-dihydroequilin cannot be concluded until the Applicant will provide the missing data and the revised ERA. It was agreed that this will be done post-authorisation by 31 March 2015."" No such information has been found on the EMA's website (2021-06-11)."
bedaquiline,J04AK05,False,"SummaryHazard 9 P 3 B 3 T 3 Risk See below Bedaquiline should be regarded as a PBT/vPvB substance, which means that the substance has particularly hazardous capacity to affect aquatic organisms according to ECHA Guidance criteria for risk classification. PNEC = 0,00077 mg/L (green alga)."
benzoylperoxide,D10AE01,False,SummaryPersistence. Benzoyl peroxide is degraded in the environment.Bioaccumulation. Benzoyl peroxide has low potential for bioaccumulation.Toxicity. Benzoyl peroxide has very high acute toxicity.Risk. The use of Benzoyl peroxide (sales data Sweden 2019) has been considered to result in moderate environmental risk. This summary information comes from Fass.
benzylpenicillin,J01CE01,False,"SummaryPersistence. Benzylpenicillin is potentially persistent.Bioaccumulation. Benzylpenicillin has low potential for bioaccumulation.Toxicity. It cannot be excluded that benzylpenicillin is toxic, since there is not sufficient ecotoxicity data available.Risk. Risk of environmental impact of benzylpenicillin cannot be excluded, since there is not sufficient ecotoxicity data available. This summary information comes from Fass. About antibiotic resistance see under Detailed information."
betamethasone,D07AC01,False,SummaryThis summary information comes from Fass. Persistence. Betamethasone is potentially persistent.Bioaccumulation. Betamethasone has low potential for bioaccumulation.Toxicity. Betamethasone has very high chronic toxicity.Risk. The use of betamethasone (sales data Sweden 2018) has been considered to result in high environmental risk.
betaxolol,S01ED02,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
bevacizumab,L01XC07,False,SummaryHazard - P - B - T - Risk Exempt
bexarotene,L01XX25,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
bezafibrate,C10AB02,False,"SummaryThis summary information on toxicity and persistence is based on previous environmental information on fass.se for Bezalip from Actavis (downloaded 2011-04-14). Bioaccumulation and risk come from the report from Goodpoint. Persistence. Bezafibrate is slowly degraded in the environment.Bioaccumulation. All fibrates examined are fat soluble with a log P between 3.9 and 5.2. This is likely low enough for some to be found in soluble form in surface water, but at the same time high enough to bioconcentrate effectively.Toxicity. Bezafibrate has high acute toxicity.Risk. The use of bezafibrate, fenofibrate and gemfibrozil is not considered to pose an environmental risk."
bibrocathol,S01AX05,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
bicalutamide,L02BB03,False,"SummaryHazard 5 P 3 B 0 T 2 Risk Insignificant The T-value in the score for hazard refers to chronic toxicity. Underlying data for P, B, T and risk are from Fass."
bifonazole,D01AC10,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
bimatoprost,S01EE03,False,SummaryPersistence. No data.Bioaccumulation. No data.Toxicity. No data.Risk. Cannot be excluded. Environmental information is missing on fass.se for bimatoprost (2020-09-07). It is voluntary for manufacturers to provide information on environmental impact on fass.se.
biperiden,N04AA02,False,SummaryHazard - P - B - T 2* Risk Cannot be excluded 
bisacodyl,A06AB02,False,SummaryHazard 5 P 3 B 0 T 2 Risk Insignificant 
bisoprolol,C07AB07,False,SummaryThis summary information comes from Fass. Persistence. Bisoprolol is degraded in the environment. Bioaccumulation. Bisoprolol has low potential for bioaccumulation.Toxicity. Bisoprolol has low chronic toxicity.Risk. The use of bisoprolol (sales data Sweden 2018) has been considered to result in insignificant environmental risk.
bleomycin,L01DC01,False,SummaryHazard - P - B - T - Risk Cannot be excluded Manufacturer has on fass.se stated that that data about the environmental impact is missing for the substance so that the environmental risk cannot be calculated. It is voluntary for manufacturers to provide information on the environmental impact on fass.se.
blinatumomab,L01XC19,False,SummaryHazard - P - B - T - Risk Exempt
boceprevir,J05AE12,False,SummaryHazard 2* P 0 B 0 T 2* Risk Insignificant 
bortezomib,L01XX32,False,SummaryHazard - P - B - T 3 Risk Insignificant 
bosentan,C02KX01,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
brentuximabvedotin,L01XC12,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
brimonidine,S01EA05,False,SummaryHazard - P - B - T - Risk Cannot be excluded Environmental information is missing on fass.se. It is voluntary for manufacturers to provide information about environmental impact on fass.se.
brinzolamide,S01EC04,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded 
bromhexine,R05CB02,False,SummaryHazard 6 P 3 B 0 T 3 Risk Cannot be excluded
bromocriptine,N04BC01,False,"SummaryPersistence. It cannot be excluded that bromocriptine is persistent, due to the lack of data.Bioaccumulation. Bromocriptine has low potential for bioaccumulation.Toxicity. It cannot be excluded that bromocriptine is toxic, due to the lack of data.Risk. Risk of environmental impact of bromocriptine cannot be excluded, due to the lack of environmental toxicity data. The data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing for bromocriptine (2023-05-24). It is voluntary for manufacturers to provide information about environmental impact on fass.se."
budesonide,A07EA06,False,"SummaryThe data on persistence, bioaccumulation and toxicity come from the assessment reports from 2020. The risk comes from the report of Goodpoint. Persistence. Budesonide is likely non-persistent.Bioaccumulation. Budesonide has low potential for bioaccumulation.Toxicity. Budesonide has high chronic toxicity.Risk. The use of budesonide poses an environmental risk."
bumetanide,C03CA02,False,SummaryHazard 4* P 3* B 0 T 1* Risk Cannot be excluded No experimental values have been found regarding the ecotoxicity of Bumetanid. Therefore the environmental risk could not be calculated.The acute toxicity of Bumetanid has been estimated by using QSAR calculations.
bupivacaine,N01BB01,False,SummaryHazard 5* P 3* B 0 T 2* Risk Cannot be excluded
buprenorphine,N02AE01,False,"SummaryPersistence. Buprenorphine is slowly degraded in the environment.Bioaccumulation. Buprenorphine has low potential for bioaccumulation.Toxicity. Buprenorphine has very high chronic toxicity.Risk. From a European perspective, the use of buprenorphine has been considered to result in insignificant environmental risk. This summary information comes from the assessment report for Zubsolv (buprenorphine, naloxone) 2017. The data for calculating risk in assessment reports for a medicinal product do not necessarily represent the total emission of all products with the same active substance during use. Buprenorphine is used in medical patches which may contain significant drug residues after use. Even used patches should be submitted to the pharmacy for destruction."
bupropion,N06AX12,False,"SummaryPersistence. Bupropion is potentially persistent.Bioaccumulation. Bupropion has low potential for bioaccumulation.Toxicity. Bupropion has very high chronic toxicity.Risk. The use of bupropion (sales data Sweden 2021) has been considered to result in insignificant environmental risk. See comment under the heading ""Detailed information"" if using PNEC value for bupropion from the assessment report of Mysimba (naltrexone/bupropion).This summary information comes from Fass except from the toxicity information that comes from the assessment report. Data for bioaccumulation is also supported by information in the assessment report."
buserelin,L02AE01,False,SummaryHazard - P - B - T - Risk See below
buspirone,N05BE01,False,SummaryHazard 6* P 3 B 0 T 3* Risk Cannot be excluded
busulfan,L01AB01,False,SummaryHazard 2* P 0 B 0 T 2* Risk Cannot be excluded
butylscopolamine,A03BB01,False,SummaryHazard 4 P 3 B 0 T 1 Risk Insignificant
cabazitaxel,L01CD04,False,"SummaryHazard 6 P 3 B 0 T 3 Risk Insignificant The T-value in the score for hazard refers to chronic toxicity. Underlying data for P, B and T comes from Fass."
cabergoline,G02CB03,False,"SummaryPersistence. It cannot be excluded that cabergoline is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that cabergoline bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that cabergoline is toxic, due to the lack of data.Risk. Risk of environmental impact of cabergoline cannot be excluded, due to the lack of environmental toxicity data. This summary information comes from Fass. It is voluntary for manufacturers to provide information on environmental impact on fass.se."
caffeine,N06BC01,False,"SummaryPersistence. The potential for persistence of caffeine cannot be excluded, due to lack of data.Bioaccumulation. Caffeine has low potential for bioaccumulation.Toxicity. Caffeine has moderate acute toxicity.Risk. The use of caffeine (sales data Sweden 2017) has been considered to result in insignificant environmental risk. This summary information comes from Fass."
calcipotriol,D05AX02,False,"SummaryPersistence. Calcipotriol is potentially persistent.Bioaccumulation. Calcipotriol has high potential for bioaccumulation.Toxicity. It cannot be excluded that calcipotriol is toxic, due to the lack of data.Risk. Risk of environmental impact of calcipotriol cannot be excluded, due to the lack of environmental toxicity. The data on hazard and risk are based on previous environmental information on fass.se. Environmental information is missing (2022-08-17). It is voluntary for manufacturers to provide information about environmental impact on fass.se."
calcitriol,A11CC04,False,"SummaryHazard - P - B - T - Risk Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHMP/SWP/4447/00),vitamins, electrolytes, amino acids, peptides, proteins, carbohydrates, lipids proteins, vaccines and herbal medicinal products are exempted because they are unlikely to result in significant risk to the environment."
calciumcarbonate,A12AA04,False,SummaryThis summary information comes from Fass. The use of electrolytes is not considered to have any environmental impact.
calciumchloride,A12AA07,False,"SummaryHazard - P - B - T - Risk Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHMP/SWP/4447/00),vitamins, electrolytes, amino acids, peptides, proteins, carbohydrates, lipids proteins, vaccines and herbal medicinal products are exempted because they are unlikely to result in significant risk to the environment."
calciumfolinate,V03AF03,False,"SummaryHazard - P - B - T - Risk Exempt According to the European Medicines Agency guideline on environmental risk assessments for pharmaceuticals (EMA/CHMP/SWP/4447/00),vitamins, electrolytes, amino acids, peptides, proteins, carbohydrates, lipids proteins, vaccines and herbal medicinal products are exempted because they are unlikely to result in significant risk to the environment."
canagliflozin,A10BX11,False,SummaryHazard 5 P 3 B 0 T 2 Risk Insignificant The risk classification is based on total sold amount (kg) of the substance expected to be sold in Sweden in 2015
canakinumab,L04AC08,False,SummaryHazard - P - B - T - Risk Exempt
candesartan,C09CA06,False,"SummaryThis summary information on persistence, bioaccumulation and toxicity comes from Fass. The risk is from the report by Goodpoint. Persistence. Candesartan is persistent.Bioaccumulation. Candesartan has low potential for bioaccumulation.Toxicity. Candesartan has moderate chronic toxicity.Risk. See the report by Goodpoint below."
capecitabine,L01BC06,False,No recorded data
captopril,C09AA01,False,SummaryHazard - P - B - T - Risk Low
carbachol,S01EB02,False,SummaryHazard - P - B 0 T - Risk Cannot be excluded
carbamazepine,N03AF01,False,"SummaryPersistence. Carbamazepine is persistent. See comment on ""potentially persistence"" that is written in Fass under the heading ""Detailed information"" below.Bioaccumulation. Carbamazepine has low potential for bioaccumulation.Toxicity. Carbamazepine has high chronic toxicity.Risk. The use of carbamazepine (sales data Sweden 2018) has been considered to result in low environmental risk.This summary information comes from Fass. The information about persistence, bioaccumulation and risk is also supported by the report from Goodpoint."
carbetocin,H01BB03,False,SummaryHazard - P - B - T - Risk Se below
carboplatin,L01XA02,False,SummaryHazard 4* P 3* B 0 T 1* Risk Cannot be excluded
carboprost,G02AD04,False,"SummaryPersistence. It cannot be excluded that carboprost is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that carboprost bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that carboprost is toxic, due to the lack of data.Risk. Risk of environmental impact of carboprost cannot be excluded, due to the lack of environmental toxicity data. This summary information comes from Fass Prostinfenem (carboprost) from Pfizer (2023-06-28). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
carfilzomib,L01XX45,False,SummaryHazard - P - B 3 T - Risk Cannot be excluded
carvedilol,C07AG02,False,"SummaryPersistence. It cannot be excluded that carvedilol is persistent, due to the lack of data.Bioaccumulation. It cannot be excluded that carvedilol bioaccumulates, due to the lack of data.Toxicity. It cannot be excluded that carvedilol is toxic, due to the lack of data.Risk. Risk of environmental impact of carvedilol cannot be excluded, due to the lack of environmental toxicity data. Environmental information is missing on fass.se for carvedilol (2022-10-28). It is voluntary for manufacturers to provide information on environmental impact on fass.se."
caspofungin,J02AX04,False,SummaryHazard 6 P 3 B 0 T 3 Risk Insignificant
